"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Peralta, David",444482,2024,36,236,260,63,44,11,0,8,54,22,20.8,8.5,".267",".415",".335","0.750",".258",".385",".329",".318",".326",".128","71.4",19.3,13.1,9.6,33.1,24.4,"7.2",17,5.9,-1.8,41.7,31,"88.1","8.9",36.8,5.5,42.3,"99.478011319","93.91992022",28.1,50.9
"Blackmon, Charlie",453568,2024,37,449,499,115,74,24,5,12,86,43,17.2,8.6,".256",".412",".329","0.741",".246",".374",".323",".309",".320",".127","67.4",2.4,6.6,5.4,29.3,23.8,"7.1",5,9.6,-5.8,55.7,31.1,"84.8","16.3",34.1,5.3,27.2,"96.083583591","92.106050111",19.2,48
"Maldonado, Martín",455117,2024,37,135,147,16,9,3,0,4,51,8,34.7,5.4,".119",".230",".174","0.404",".157",".287",".181",".221",".210",".130","70.9",10,12.2,8.2,31.1,20.9,"7.6",4,15,-7.6,59.1,30.4,"88","20.1",29.9,8,35.6,"98.499170952","93.412792619",36.1,49.3
"Solano, Donovan",456781,2024,36,283,309,81,60,13,0,8,65,22,21,7.1,".286",".417",".343","0.760",".256",".391",".333",".313",".316",".135","67.1",1.4,8.6,6.6,32,24.8,"7",11,8.6,-1.5,45.4,35,"87.3","13.7",37,3.7,37.4,"98.057695046","93.167454908",23.5,47.2
"McCutchen, Andrew",457705,2024,37,448,515,104,65,18,1,20,133,58,25.8,11.3,".232",".411",".328","0.739",".219",".421",".325",".325",".317",".201","72.7",25.3,14.9,11.1,31.2,23.2,"7.6",11,12.7,-0.2,56.4,33.4,"88.5","14.3",31.9,12,36.9,"99.424962893","93.831123091",28.9,42
"Turner, Justin",457759,2024,39,460,539,119,84,24,0,11,95,59,17.6,10.9,".259",".383",".354","0.737",".251",".394",".327",".333",".351",".143","65.1",0.8,5,4.3,32.5,27.9,"6.3",16,9.3,-0.4,52.3,34.5,"87.1","17.8",40.1,4.6,32.5,"96.702342312","92.434680753",17,45.4
"Santana, Carlos",467793,2024,38,521,594,124,75,26,0,23,99,65,16.7,10.9,".238",".420",".328","0.748",".244",".424",".326",".333",".334",".180","71.8",19.4,13.6,10.7,36.1,28.3,"7.6",8,11.8,-5,63.3,27.1,"89.2","16.1",30.9,7.3,39.9,"99.506124387","94.004167778",23.3,43.3
"Rojas, Miguel",500743,2024,35,307,337,87,60,21,0,6,34,23,10.1,6.8,".283",".410",".337","0.747",".276",".360",".327",".312",".332",".085","67.9",4.2,8.4,7.3,37.2,32.2,"7",9,3.9,-4.5,37.7,31.1,"85","9.7",33.2,2.5,27.8,"96.317826471","92.174445609",13.9,46.5
"Pham, Tommy",502054,2024,36,440,478,109,77,20,3,9,106,35,22.2,7.3,".248",".368",".305","0.673",".260",".413",".297",".321",".317",".154","72.6",21.8,17.9,14.3,36.8,29.3,"6.9",14,7.6,3.2,53.5,27.8,"90.4","11",32.2,7.2,42.7,"101.105935449","94.883209671",22.5,40.5
"Martinez, J.D.",502110,2024,36,434,495,102,61,24,1,16,141,49,28.5,9.9,".235",".406",".320","0.726",".252",".480",".318",".353",".335",".228","73",28.6,14.1,9.9,28.5,20,"8.4",29,12.5,-0.1,49.3,38.7,"91","14.4",39.3,15,46.1,"101.443240544","95.173257041",31.5,48.5
